user_id,num_clicks,num_sessions,avg_session_duration,avg_bags,age,birthdate,gender,married,has_children,home_country,num_trips,num_flights,money_spent_hotel,time_after_booking,avg_km_flown,perk,avg_nights_per_trip,group_k_means,cluster_name,value_score,booking_segment,group_dbscan
371201,105,8,97.125,3.0,29.0,1996-01-16,0,0,1,0,1,2,0.0,8.0,1060.9488580245406,free child ticket,0.0,8,Last-Minute Planners,5.230325241854116,Family Traveler,-1
373489,118,9,96.44444444444444,3.0,38.0,1986-12-08,1,1,1,0,1,2,1224.0,223.0,20504.143209543832,free child ticket,12.0,0,Luxury Loyalists,7.120105627091208,Planner,-1
386914,294,8,987.375,3.0,47.0,1977-12-08,1,1,1,1,1,2,577.8,7.0,652.4026067759777,free child ticket,2.0,7,Solo Jetsetters,16.75632094595589,Family Traveler,-1
421870,132,8,122.125,2.6666666666666665,31.0,1994-06-25,0,1,1,0,3,6,1435.0,79.66666666666667,7453.00500408408,free child ticket,2.5,0,Luxury Loyalists,15.330844042028541,Planner,-1
438551,361,8,1047.75,5.0,37.0,1987-08-04,1,1,1,0,2,0,451.5,0.0,0.0,free child ticket,7.5,7,Solo Jetsetters,21.69757083936958,Spontaneous Booker,-1
469237,90,8,84.125,0.0,18.0,2006-08-15,1,0,1,0,1,0,1536.0,0.0,0.0,free child ticket,3.0,5,Spontaneous Bookers,7.11369241329337,Spontaneous Booker,-1
487352,83,8,78.25,0.0,19.0,2006-05-11,1,0,1,0,2,1,995.4,4.0,3636.745251309031,free child ticket,3.5,5,Spontaneous Bookers,9.955415260781843,General,-1
505172,322,8,1013.625,2.3333333333333335,32.0,1993-01-05,0,1,1,0,1,2,0.0,6.0,3003.1561436624406,free child ticket,13.333333333333334,7,Solo Jetsetters,16.516845707954975,Family Traveler,-1
507207,129,8,120.375,0.0,19.0,2006-04-28,1,0,1,0,2,0,5140.0,0.0,0.0,free child ticket,7.5,5,Spontaneous Bookers,16.799906593891002,Luxury Traveler,-1
508713,77,8,72.375,2.0,19.0,2006-01-26,1,0,1,0,1,2,246.5,9.0,4183.68105154044,free child ticket,2.0,8,Last-Minute Planners,5.012678069719784,General,-1
508891,83,8,77.25,1.0,18.0,2006-12-05,1,0,1,0,2,4,0.0,7.5,2006.8458209511846,free child ticket,0.0,8,Last-Minute Planners,8.529685243436802,General,-1
510316,153,8,143.0,0.0,18.0,2006-07-13,1,0,1,0,1,0,2057.0,0.0,0.0,free child ticket,17.0,5,Spontaneous Bookers,9.164043734244245,Luxury Traveler,-1
510571,91,8,85.375,3.0,21.0,2003-09-14,1,1,1,0,4,2,9330.0,225.0,15015.820162135406,free child ticket,7.5,0,Luxury Loyalists,29.47660440058577,Luxury Traveler,-1
510585,100,8,93.25,1.0,18.0,2006-10-01,1,0,1,1,1,2,3107.0,224.0,3203.197812103878,free child ticket,13.0,0,Luxury Loyalists,9.55457737609146,Luxury Traveler,-1
511910,80,8,75.0,0.0,19.0,2006-05-16,1,0,1,0,1,0,774.0,0.0,0.0,free child ticket,9.0,5,Spontaneous Bookers,5.8238354080964765,Spontaneous Booker,-1
513807,331,8,1022.375,2.75,45.0,1979-08-18,1,1,1,0,2,3,716.0,7.0,1835.6348157153118,free child ticket,1.5,7,Solo Jetsetters,21.4757890894571,Family Traveler,-1
514113,88,8,81.875,0.0,19.0,2006-06-28,1,0,1,0,2,2,574.0,5.0,1791.4084903190574,free child ticket,3.0,5,Spontaneous Bookers,9.449803539615935,General,-1
516086,91,10,67.3,0.0,19.0,2006-06-02,1,0,1,0,1,0,1591.2,0.0,0.0,free child ticket,18.0,5,Spontaneous Bookers,7.044362465408821,Luxury Traveler,-1
516283,299,9,881.5555555555555,5.666666666666667,25.0,1999-10-13,0,1,1,0,1,2,0.0,7.0,1620.3420735312682,free child ticket,9.333333333333334,7,Solo Jetsetters,14.98888987806728,Family Traveler,-1
517064,224,9,184.33333333333334,0.0,19.0,2006-01-15,1,0,1,0,3,4,1234.0,7.5,1959.8208129785216,free child ticket,1.3333333333333333,4,Budget Travelers,16.73084095479554,General,-1
518726,81,8,75.25,0.0,18.0,2006-10-06,1,0,1,0,1,2,0.0,8.0,1902.0116883251987,free child ticket,0.0,5,Spontaneous Bookers,4.73688349456941,General,-1
519787,305,9,887.4444444444445,1.0,19.0,2006-06-22,1,0,1,1,1,0,1792.0,0.0,0.0,free child ticket,7.0,7,Solo Jetsetters,17.66585940775641,Luxury Traveler,-1
520314,107,8,99.375,0.0,18.0,2006-11-24,1,0,1,0,2,0,2620.0,0.0,0.0,free child ticket,5.0,5,Spontaneous Bookers,12.753181178204956,Luxury Traveler,-1
